Amats,Uzņēmums,Darba vietas adrese,Alga bruto,Aktuāla līdz
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Bauskas novada pašvaldība,"Zemgales iela 9A, Iecava, Bauskas nov.",1240 ,30.12.2023
CEHA STRĀDNIEKS,"SIA ""BALTĀS NAKTIS""","Bērzu iela 14, Baloži, Ķekavas nov.",1373 ,31.01.2024
BŪVSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Musafir""","Krišjāņa Valdemāra iela 4, Liepāja",1373 - 1400 ,01.01.2024
CEHA STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Musafir""","""Avoti"", Nīca, Nīcas pagasts, Dienvidkurzemes novads, LV-3473",1373 - 1400 ,01.01.2024
KVALITĀTES INŽENIERIS,"Valsts akciju sabiedrība ""Latvijas autoceļu uzturētājs""","Krustpils iela 4, Rīga",1800 - 2110 ,03.12.2023
Datu ANALĪTIĶIS,SIA Media Solutions,"Dzirnavu iela 37, Rīga",2186.59 - 2200 ,31.03.2024
INFORMĀCIJAS TEHNOLOĢIJU ADMINISTRATORS,SIA Media Solutions,"Dzirnavu iela 37 - 41, Rīga",1997.08 - 2050 ,31.03.2024
MASIERIS (TREŠĀ LĪMEŅA KVALIFIKĀCIJA),"Sabiedrība ar ierobežotu atbildību ""Veselības centrs Ilūkste""","Daugavpils,ar darba vietu Ilūkstē un Subatē",908 ,22.12.2023
MĀKSLAS TERAPEITS,"Sabiedrība ar ierobežotu atbildību ""Veselības centrs Ilūkste""","Daugavpils,ar darba vietu Ilūkstē un Subatē",1032 - 1369 ,22.12.2023
Klīniskais un veselības PSIHOLOGS,"Sabiedrība ar ierobežotu atbildību ""Veselības centrs Ilūkste""","Daugavpils,ar darba vietu Ilūkstē un Subatē",967 ,22.12.2023
VIESMĪLIS,"Sabiedrība ar ierobežotu atbildību ""ROTA IG""","Liepājas iela 36, Kuldīga, Kuldīgas nov.",650 - 700 ,30.11.2023
CEHA STRĀDNIEKS,"SIA ""SIGULDAS MAIZNIEKS""","Mālpils iela 4, Sigulda, Siguldas nov.",880 ,10.12.2023
PROGRAMMĒTĀJS,"AS ""Printful Latvia""","Raiņa bulvāris 25, Rīga",3500 - 4000 ,23.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""Smarttec""","Rēzekne,darbs Eiropa, Krievija",2100 - 2840 ,20.12.2023
IESLODZĪJUMA VIETAS UZRAUGS,Ieslodzījuma vietu pārvalde,"Dzirnavu iela 32, Valmiermuiža, Valmieras pag., Valmieras nov.",990 - 1110 ,31.12.2023
FIZIOTERAPEITS,"""Latvijas Samariešu apvienība""","Garozes iela 15, Rīga",1320 ,31.12.2023
APRŪPĒTĀJS,"""Latvijas Samariešu apvienība""","Garozes iela 15, Rīga",4.32 ,31.12.2023
APRŪPĒTĀJS,"""Latvijas Samariešu apvienība""","Garozes iela 15, Rīga",4.32 ,31.12.2023
BĀRMENIS,"SIA ""APL Restaurants RP""","Mūkusalas iela 71, Rīga",5 - 6 ,22.12.2023
VIESMĪLIS,"SIA ""APL Restaurants""","Maskavas iela 257, Rīga",4.5 - 5.5 ,22.12.2023
VIRTUVES DARBINIEKS,"Sabiedrība ar ierobežotu atbildību ""B Company""","Purvciema iela 19A, Rīga",1373 ,01.03.2024
SĒTNIEKS,"Sabiedrība ar ierobežotu atbildību ""Ķekavas nami""","Ķekava, Ķekavas nov.",770 ,08.12.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""RITAL D""","Marijas iela 1B, Daugavpils",5 ,07.12.2023
METĀLMATERIĀLU METINĀTĀJS,"SIA ""Nuvalo Latvia""","Gustava Zemgala gatve 71, Rīga",1373 - 2000 ,31.03.2024
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Rageo""","Gaigalas iela 9, Rīga",8.5 ,21.12.2023
VIRTUVES DARBINIEKS,"Sabiedrība ar ierobežotu atbildību ""Rageo""","Gaigalas iela 9, Rīga",8.5 ,21.12.2023
JURISTS,Ieslodzījuma vietu pārvalde,"Stabu iela 89, Rīga",1440 - 2060 ,31.12.2023
SĒTNIEKS,"Sabiedrība ar ierobežotu atbildību ""Komunālserviss TILDe""","Kultūras pils, Slampe, Slampes pag., Tukuma nov.",620 ,29.11.2023
PALĪGSTRĀDNIEKS,"SIA ""Nuvalo Latvia""","Gustava Zemgala gatve 71, Rīga",1373 - 1500 ,31.01.2024
PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (VALSTS PĀRVALDES JOMĀ),Rīgas vēstures un kuģniecības muzejs,"Palasta iela 4, Rīga",1287 ,20.12.2023
ĒDINĀŠANAS UZŅĒMUMA KASIERIS-PĀRDEVĒJS,"Sabiedrība ar ierobežotu atbildību ""EKSREMMA""","Vaļņu iela 10, Jelgava",4.5 - 5.5 ,06.12.2023
SABIEDRISKO ATTIECĪBU SPECIĀLISTS,Latvijas Universitātes Cietvielu fizikas institūts,"Ķengaraga iela 8, Rīga",1500 - 1800 ,15.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""VITA mārkets""","Mangaļu prospekts 29, Rīga",1150 ,29.11.2023
PĒTNIEKS,Rīgas Tehniskā universitāte,Rīga,5 - 8 ,22.12.2023
Zinātniskais ASISTENTS,Rīgas Tehniskā universitāte,Rīga,5 - 7 ,22.12.2023
NOLIKTAVAS PĀRZINIS,Ieslodzījuma vietu pārvalde,"Tvaikoņu iela 3, Rīga",695 - 1045 ,31.12.2023
BŪVINSPEKTORA PALĪGS,Siguldas novada pašvaldība,"Zinātnes iela 7, Sigulda, Siguldas nov.",1167 - 1229 ,05.12.2023
VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,"SIA ""Tālmācības vidusskola Rīgas 1. vidusskola""","Audēju iela 8, Rīga",900 - 1000 ,22.12.2023
AUTOMOBIĻU SKĀRDNIEKS,"SIA ""LM AUTO""","Dundagas iela 61, Talsi, Talsu nov.",No 1000 ,21.12.2023
TRANSPORTLĪDZEKĻU KRĀSOTĀJS,"SIA ""LM AUTO""","Dundagas iela 61, Talsi, Talsu nov.",No 1000 ,21.12.2023
JAUNATNES LIETU SPECIĀLISTS,Bauskas novada pašvaldība,"Uzvaras iela 4, Bauska, Bauskas nov.",998 - 1025 ,06.12.2023
VADOŠAIS PĒTNIEKS,Rīgas Tehniskā universitāte,Rīga,10 - 18 ,22.12.2023
TĀMĒTĀJS,"SIA ""Buvalex""",Rīga,1500 - 2500 ,31.01.2024
SANITĀRS,"Valsts sabiedrība ar ierobežotu atbildību ""Paula Stradiņa klīniskā universitātes slimnīca""","Pilsoņu iela 13, Rīga",5.49 - 6.09 ,01.12.2023
SANITĀRS,"Valsts sabiedrība ar ierobežotu atbildību ""Paula Stradiņa klīniskā universitātes slimnīca""","Pilsoņu iela 13, Rīga",5.49 - 6.09 ,01.12.2023
MĀSA/ vispārējās aprūpes MĀSA,"Valsts sabiedrība ar ierobežotu atbildību ""Paula Stradiņa klīniskā universitātes slimnīca""","Pilsoņu iela 13, Rīga",7.95 - 9.15 ,01.12.2023
BETONĒTĀJS,"Akciju sabiedrība ""BMGS""","Tvaika iela 27, Rīga",1373 ,31.01.2024
AMBULATORĀS APRŪPES ĀRSTA PALĪGS,Krāslavas novada pašvaldības Dagdas pilsētas un pagastu apvienība,"Saules iela 13, Konstantinova, Konstantinovas pag., Krāslavas nov., Latvija",651.5 ,11.12.2023
BŪVSTRĀDNIEKS,"Akciju sabiedrība ""BMGS""","Tvaika iela 27, Rīga",1373 ,31.01.2024
TEHNISKAIS STRĀDNIEKS,"""Jet Flight Service"", Sabiedrība ar ierobežotu atbildību","Dzirnieku iela 15, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",1373 ,31.01.2024
PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (VALSTS PĀRVALDES JOMĀ),Rīgas vēstures un kuģniecības muzejs,"Palasta iela 4, Rīga",1656 ,13.12.2023
BŪVDARBU VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""WORKINGDAY LATVIA""","Tērbatas iela 53 - 10, Rīga",3000 ,22.12.2023
STIEGROTĀJS,"Akciju sabiedrība ""BMGS""","Tvaika iela 27, Rīga",1373 ,31.01.2024
REMONTSTRĀDNIEKS,Rīgas vēstures un kuģniecības muzejs,"Palasta iela 4, Rīga",856 ,05.12.2023
PALĪGSTRĀDNIEKS,"""MAXIMA Latvija"" SIA","Nometņu iela 13, Jūrmala",4.2 - 4.5 ,04.01.2024
ASOCIĒTAIS PROFESORS,Rīgas Tehniskā universitāte,Rīga,150 - 300 ,22.12.2023
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"""MAXIMA Latvija"" SIA","Nometņu iela 13, Jūrmala",4.35 - 4.95 ,04.01.2024
Zinātniskais ASISTENTS,Rīgas Tehniskā universitāte,Rīga,3.94 ,22.12.2023
IESLODZĪJUMA VIETAS UZRAUGS,Ieslodzījuma vietu pārvalde,"Dārza iela 14/16, Liepāja",990 - 1110 ,31.12.2023
TARAS PĀRZINIS,"""MAXIMA Latvija"" SIA","Grostonas iela 1, Rīga",4.3 - 4.9 ,04.01.2024
KRĀVĒJS (ROKU DARBS),"""MAXIMA Latvija"" SIA","Kurzemes prospekts 110B, Rīga",4.55 - 5.15 ,04.01.2024
KLIENTU /PĀRDOŠANAS KONSULTANTS,"""MAXIMA Latvija"" SIA","Kurzemes prospekts 110B, Rīga",4.7 - 5.3 ,04.01.2024
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"""MAXIMA Latvija"" SIA","Valdeķu iela 10, Rīga",4.35 - 4.95 ,04.01.2024
MAIŅAS VECĀKAIS,"""MAXIMA Latvija"" SIA","Valdeķu iela 10, Rīga",5.7 - 6.5 ,04.01.2024
KLIENTU /PĀRDOŠANAS KONSULTANTS,"""MAXIMA Latvija"" SIA","Valdeķu iela 10, Rīga",4.7 - 5.3 ,04.01.2024
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"""MAXIMA Latvija"" SIA","Pētersalas iela 18B, Rīga",4.35 - 4.95 ,04.01.2024
KLIENTU /PĀRDOŠANAS KONSULTANTS,"""MAXIMA Latvija"" SIA","Pētersalas iela 18B, Rīga",4.7 - 5.3 ,04.01.2024
BIROJA ADMINISTRATORS,"SIA ""Silkeborg Spaantagning Baltic""","Kapsēdes iela 2, Liepāja",1250 ,29.12.2023
MEHĀNIĶIS,"SIA ""ITA""","Purva iela 17, Valmiera, Valmieras nov.",1200 - 1400 ,06.12.2023
BŪVNIEKS,"SIA ""Buvalex""",Rīga,1200 - 2500 ,31.01.2024
MĀSA/ vispārējās aprūpes MĀSA,"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas psihiatrijas un narkoloģijas centrs""","Ļermontova iela 1, Rīga",1280 - 1680 ,06.12.2023
BETONĒTĀJS,"SIA ""Buvalex""",Rīga,1500 - 3000 ,31.01.2024
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""Mieriņš""","Kalēju iela 7, Aloja, Limbažu nov.",800 - 920 ,12.12.2023
IESAIŅOTĀJS (ROKU DARBS),"Sabiedrība ar ierobežotu atbildību ""TITAN R""","Rīga, Latvija",1373 ,31.01.2024
PAVĀRA PALĪGS,"SIA ""GROBIŅAS KB""","Paula iela 2, Grobiņa, Dienvidkurzemes nov.",620 ,31.12.2023
VECĀKAIS REFERENTS,Aizsardzības ministrija,"Krišjāņa Valdemāra iela 10/12, Rīga",1582 - 1860 ,05.12.2023
KLIENTU APKALPOŠANAS SPECIĀLISTS,SIA Klīnika DiaMed,"Brīvības gatve 214G, Rīga-LV1039",1000 - 1200 ,22.12.2023
PARKA DĀRZNIEKS,"Salaspils novada pašvaldības iestāde ""Komunālais dienests""","Rīgas iela 115, Salaspils, Salaspils nov.",1300 ,22.12.2023
VEIKALA KASIERIS,Pepco Latvia SIA,"Krasta iela 46, Rīga",970 ,03.12.2023
VEIKALA KASIERIS,Pepco Latvia SIA,"Juglas krastmala 2, Rīga",485 ,03.12.2023
VEIKALA KASIERIS,Pepco Latvia SIA,"Brīvības gatve 372, Rīga",970 ,03.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA VADĪTĀJS,Pepco Latvia SIA,"Brīvības gatve 372, Rīga",1435 ,03.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA VADĪTĀJS,Pepco Latvia SIA,"Biķeru iela 4, Ulbroka, Stopiņu pag., Ropažu nov.",1395 ,03.12.2023
BĀRMENIS,"SIA ""APL Restaurants""","Maskavas iela 257, Rīga",5 - 6 ,22.12.2023
BĀRMENIS,"SIA ""APL Restaurants RP""","Mūkusalas iela 71, Rīga",5 - 6 ,22.12.2023
VIESMĪLIS,"SIA ""APL Restaurants RP""","Mūkusalas iela 71, Rīga",4.5 - 5.5 ,22.12.2023
VIESMĪLIS,"SIA ""APL Restaurants""","Maskavas iela 257, Rīga",4.5 - 5.5 ,22.12.2023
SOCIĀLAIS DARBINIEKS,Balvu novada pašvaldība,"Vidzemes iela 2B, Balvi, Balvu nov.",819 - 910 ,07.12.2023
ROBOTA OPERATORS,SIA 3D Factory,"Brīvības gatve 214S, Rīga",550 ,30.11.2023
UZZIŅU OPERATORS,"SIA ""TRANSCOM WORLDWIDE LATVIA""","Vienības gatve 109, Rīga",1400 - 1750 ,22.02.2024
Amatierteātra REŽISORS,Alūksnes novada pašvaldība,"Brūža iela 7, Alūksne, Alūksnes nov.",105.75 ,07.12.2023
FOLKLORAS KOPAS VADĪTĀJS,Alūksnes novada pašvaldība,"Brūža iela 7, Alūksne, Alūksnes nov.",105.75 ,07.12.2023
VECĀKAIS INSPEKTORS,Valsts augu aizsardzības dienests,"Sēlijas iela 25, Daugavpils",1215 - 1350 ,11.12.2023
VIRTUVES DARBINIEKS,Latgales Industriālais tehnikums,"Jātnieku iela 87, Daugavpils",620 ,30.11.2023
PAVĀRS,Get More Food SIA,"Vilhelma Kreslera iela 5 - 16, Rīga",1373 ,31.12.2023
CENTRĀLĀS APSARDZES PULTS DEŽURANTS,"""Rīgas satiksme"", Rīgas pašvaldības sabiedrība ar ierobežotu atbildību","Kleistu iela 28, Rīga",8.3 - 8.72 ,13.12.2023
PASTA KURJERS,"""Latvijas Pasts"", Valsts akciju sabiedrība","Ziemeļu iela 10, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",900 - 1500 ,13.12.2023
BIROJA ADMINISTRATORS,"Sabiedrība ar ierobežotu atbildību ""V.V. mācību centrs""","Maskavas iela 257B, Rīga",1300 - 1500 ,22.12.2023
KVALITĀTES VADĪBAS SISTĒMU SPECIĀLISTS,"Sabiedrība ar ierobežotu atbildību ""PHARMIDEA""","Rūpnīcu iela 4, Olaine, Olaines nov.",1500 ,21.12.2023
VADĪTĀJA VIETNIEKS /DIREKTORA VIETNIEKS /IZPILDDIREKTORS (IZGLĪTĪBAS JOMĀ),"Sabiedrība ar ierobežotu atbildību ""V.V. mācību centrs""",Rīga,1400 - 1900 ,22.12.2023
DARBĪBAS RISKU VADĪTĀJS,Nodrošinājuma valsts aģentūra,"Čiekurkalna 1. līnija 1 k-2, Rīga",1174 - 1400 ,06.12.2023
ELEKTRONIKAS TEHNIĶIS,"""L-EKSPRESIS"", SIA","Kalna iela 68A, Rīga",1600 - 2100 ,29.11.2023
TEHNISKAIS STRĀDNIEKS,"""L-EKSPRESIS"", SIA","Kalna iela 68A, Rīga",No 1400 ,29.11.2023
PROJEKTĒŠANAS INŽENIERIS,"""Latvijas dzelzceļš"", Valsts akciju sabiedrība","Jāņavārtu iela 14, Rīga",1100 - 1300 ,22.12.2023
VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,"Profesionālās izglītības kompetences centrs ""Rīgas Tehniskā koledža""","Braslas iela 16, Rīga,; Lēdmanes iela 3, Rīga.",1540 ,31.12.2023
VECĀKAIS INSPEKTORS,Valsts augu aizsardzības dienests,"Brāļu Skrindu iela 11, Rēzekne",1305 - 1450 ,11.12.2023
PROJEKTA VADĪTĀJS,Nodrošinājuma valsts aģentūra,"Ezermalas iela 10B, Rīga",1210 - 1392 ,06.12.2023
APKOPĒJS,"SIA ""RavLat""","Rīgas iela 22A, Ķekava, Ķekavas nov.",4.5 - 5.5 ,10.12.2023
SĒTNIEKS,"SIA ""RavLat""","Rīgas iela 22A, Ķekava, Ķekavas nov.",4.5 - 5.5 ,09.12.2023
TIRGVEDĪBAS UN TIRDZNIECĪBAS SPECIĀLISTS,"""Rīgas satiksme"", Rīgas pašvaldības sabiedrība ar ierobežotu atbildību","Vestienas iela 35, Rīga",1595 - 1675 ,05.12.2023
PERSONĀLA SPECIĀLISTS,Latvijas Universitātes Cietvielu fizikas institūts,"Ķengaraga iela 8, Rīga",1500 - 1700 ,05.12.2023
VECĀKAIS VALSTS REVIDENTS (REVĪZIJAS JOMĀ),Latvijas Republikas Valsts kontrole,"Skanstes iela 50, Rīga",1588 - 2400 ,29.11.2023
TRANSPORTLĪDZEKĻU REĢISTRATORS,"Valsts akciju sabiedrība ""Ceļu satiksmes drošības direkcija""","Bauskas iela 86, Rīga",8.19 - 8.64 ,10.12.2023
MAZIETILPĪGA KRAVAS AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""VECĀ MAIZNĪCA""","Brīvības iela 14K, Rēzekne",700 - 780 ,01.12.2023
KLIENTU APKALPOŠANAS SPECIĀLISTS,"SIA ""TRANSCOM WORLDWIDE LATVIA""","Vienības gatve 109, Rīga",1400 - 1750 ,22.02.2024
KLIENTU APKALPOŠANAS SPECIĀLISTS,"SIA ""TRANSCOM WORLDWIDE LATVIA""","Vienības gatve 109, Rīga",1400 - 1750 ,22.02.2024
EKONOMISTS,Siguldas novada pašvaldība,"Pils iela 16, Sigulda, Siguldas nov.",1352 - 1423 ,05.12.2023
SĒTNIEKS,Rīgas valstspilsētas pašvaldība,"Brīvības gatve 206, Rīga",155 ,22.12.2023
UZZIŅU OPERATORS,"SIA ""TRANSCOM WORLDWIDE LATVIA""","Vienības gatve 109, Rīga",1400 - 1750 ,22.02.2024
LIETVEDIS,Siguldas novada pašvaldība,"Zinātnes iela 7, Sigulda, Siguldas nov.",980 ,03.12.2023
KLIENTU APKALPOŠANAS SPECIĀLISTS,"SIA ""TRANSCOM WORLDWIDE LATVIA""","Vienības gatve 109, Rīga",1400 - 1750 ,22.02.2024
PERSONĀLA SPECIĀLISTS,Jūrmalas Valsts ģimnāzija,"Raiņa iela 55, Jūrmala",1157 ,31.12.2023
KLIENTU APKALPOŠANAS SPECIĀLISTS,"SIA ""TRANSCOM WORLDWIDE LATVIA""","Vienības gatve 109, Rīga",1400 - 1750 ,22.02.2024
UZZIŅU OPERATORS,"SIA ""TRANSCOM WORLDWIDE LATVIA""","Vienības gatve 109, Rīga",1400 - 1750 ,22.02.2024
INTERNISTS,"SIA ""Rīgas Austrumu klīniskā universitātes slimnīca""","Linezera iela 3, Rīga",11.41 ,22.12.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""FOREVERS""","Granīta iela 9A, Rīga",1373 ,01.04.2024
KURJERS,"SIA ""OC VISION""","Elijas iela 17, Rīga",850 ,21.12.2023
SOCIĀLAIS DARBINIEKS DARBAM AR PERSONU GRUPĀM,Dienvidkurzemes novada pašvaldība,"Lielā iela 76, Grobiņa, Dienvidkurzemes nov.",1202 ,11.12.2023
PAVĀRS,"SIA ""GINGER""","Āzenes iela 5, Rīga",1373 - 1500 ,01.03.2024
INTERNISTS,"SIA ""Rīgas Austrumu klīniskā universitātes slimnīca""","Linezera iela 3, Rīga",1821 ,22.12.2023
FINIERU LOBĪŠANAS OPERATORS,"SIA ""Kornbest""","Jauntīreļi, Grēnes, Olaines pag., Olaines nov.",1373 ,31.12.2023
KONDITORS,"Sabiedrība ar ierobežotu atbildību ""NOMEDA""","Bukaišu iela 6, Rīga",No 1200 ,22.12.2023
PROJEKTA VADĪTĀJS,SIA Akolit,"Duntes iela 56 - 6, Rīga",1373 ,05.01.2024
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,"Naujenes pirmsskolas izglītības iestāde ""Rūķītis""","Daugavpils,darbs Krauja, Naujenes pag.",1240 ,06.12.2023
AUKLIS,RĪGAS 21.PIRMSSKOLAS IZGLĪTĪBAS IESTĀDE LAIMIŅA,"Kalngales iela 2, Rīga",620 ,21.02.2024
MĀSA/ vispārējās aprūpes MĀSA,Latvijas Republikas Aizsardzības ministrijas Nacionālo bruņoto spēku Apvienotais štābs,"Valmieras iela 8, Cēsis, Cēsu nov.",1670 ,31.01.2024
EKSPERTS,Rīgas valstspilsētas pašvaldība,"Terēzes iela 5, Rīga",1157 - 1309 ,21.12.2023
PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (SOCIĀLĀS LABKLĀJĪBAS JOMĀ),Jēkabpils novada pašvaldība,"Jaunā iela 39I, Jēkabpils, Jēkabpils nov.",1225 ,14.12.2023
SOCIĀLAIS DARBINIEKS,Jēkabpils novada pašvaldība,"Jaunā iela 39I, Jēkabpils, Jēkabpils nov.",1100 ,30.11.2023
BUFETES PĀRDEVĒJS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","""NBS Aviācijas bāze"", Rembates pagasts",1120 - 1200 ,31.12.2023
MEŽSAIMNIECĪBAS STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""ECOMARK""",Vidzeme,No 1400 ,22.12.2023
PADOMES SEKRETĀRS,"Valsts sabiedrība ar ierobežotu atbildību ""Paula Stradiņa klīniskā universitātes slimnīca""","Pilsoņu iela 13, Rīga",925 ,01.12.2023
APKOPĒJS,"JURO IK, SIA","Jelgava,Lietuvas šoseja 52",No 650 ,19.12.2023
APRŪPĒTĀJS,Labāka Rītdiena,"Krišjāņa Valdemāra iela 11, Cēsis, Cēsu nov.",790 - 950 ,29.12.2023
VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,J.Raiņa Daugavpils 6.pamatskola,"Komunālā iela 2, Daugavpils",1259 ,09.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"JURO IK, SIA","Lietuvas šoseja 52, Jelgava",No 650 ,19.12.2023
METĀLA /SMILŠSTRŪKLAS IEKĀRTAS OPERATORS,"SIA LSEZ ""RT metāls""","Laboratorijas iela 20, Liepāja",1336 ,15.12.2023
KLIENTU APKALPOŠANAS SPECIĀLISTS,"Ventspils valstspilsētas pašvaldības iestāde ""Ventspils Sociālais dienests""","Raiņa iela 10, Ventspils",888 ,30.11.2023
PĀRDOŠANAS SPECIĀLISTA ASISTENTS,"SIA ""Ceram Optec""","Domes iela 1A, Līvāni, Līvānu nov.",1100 ,22.12.2023
APKOPĒJS,"Sabiedrība ar ierobežotu atbildību ""DAERS""","Jelgavas iela 1R, Daugavpils",620 ,20.12.2023
SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,"Ventspils valstspilsētas pašvaldības iestāde ""Ventspils Sociālais dienests""","Raiņa iela 10, Ventspils",1157 ,15.12.2023
AUTOMOBIĻA VADĪTĀJS,Alūksnes novada pašvaldība,"Dārza iela 11, Alūksne, Alūksnes nov.",724 ,27.11.2023
INSPEKTORS,Valsts vides dienests,"Raiņa iela 28, Daugavpils",932 - 1398 ,06.12.2023
SKOLAS DIREKTORA VIETNIEKS /PRIEKŠNIEKA VIETNIEKS,"SIA ""Tālmācības vidusskola Rīgas 1. vidusskola""","Audēju iela 8, Rīga",No 1900 ,30.11.2023
Ugunsdrošības SPECIĀLISTS,"SIA ""Rīgas Austrumu klīniskā universitātes slimnīca""","Hipokrāta iela 2, Rīga",1395 ,06.12.2023
ASISTENTS PERSONĀM AR INVALIDITĀTI,"Kadagas pirmsskolas izglītības iestāde ""Mežavēji""","Gaujas iela 33A, Ādaži, Ādažu nov.",5.11 ,22.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"Sabiedrība ar ierobežotu atbildību ""VITA mārkets""","Ainažu iela 28A, Saulkrasti, Saulkrastu nov.",4.7 - 5.1 ,29.11.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"Sabiedrība ar ierobežotu atbildību ""VITA mārkets""","Zinātnes iela 1, Sigulda, Siguldas nov.",4.9 - 5.6 ,29.11.2023
REMONTSTRĀDNIEKS,Balvu novada pašvaldība,"Raiņa iela 15, Tilža, Tilžas pag., Balvu nov.",496 ,08.12.2023
GALVENAIS SPECIĀLISTS METODIĶIS,"Jelgavas valstspilsētas pašvaldības profesionālās tālākizglītības iestāde ""Zemgales reģiona kompetenču attīstības centrs""","Svētes iela 33, Jelgava",1061 - 1199 ,30.11.2023
PĀRDEVĒJS KONSULTANTS,"Sabiedrība ar ierobežotu atbildību ""VITA mārkets""","Eduarda Tisē iela 71A, Liepāja",4 - 4.4 ,29.11.2023
MAIŅAS VECĀKAIS,"Sabiedrība ar ierobežotu atbildību ""VITA mārkets""","Rīgas iela 24, Salaspils, Salaspils nov.",5.4 - 5.9 ,29.11.2023
Grafikas DIZAINERS,"Sabiedrība ar ierobežotu atbildību ""PMPC""","Krišjāņa Valdemāra iela 27/29, Rīga",2200 ,29.02.2024
PEDAGOGA PALĪGS,Liepājas Izglītības pārvalde,"Toma iela 19, Liepāja",1224 - 1296 ,29.12.2023
APKOPĒJS,"Sabiedrība ar ierobežotu atbildību ""VITA mārkets""","Rīgas prospekts 1, Ziemeļblāzma, Skultes pag., Limbažu nov.",620 ,29.11.2023
Grafikas DIZAINERS,"Sabiedrība ar ierobežotu atbildību ""PMPC""","Krišjāņa Valdemāra iela 27/29, Rīga",2200 ,29.02.2024
VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Rīgas 85. pamatskola,"Purvciema iela 23A, Rīga",1224 ,31.12.2023
VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Liepājas Izglītības pārvalde,"Toma iela 19, Liepāja",1224 - 1296 ,29.12.2023
APRŪPĒTĀJS,"Valsts sociālās aprūpes centrs ""Zemgale""","Pansionāts Rūja, Jeri, Jeru pag., Valmieras nov.",662 - 718 ,03.12.2023
MAZUMTIRDZNIECĪBAS VEIKALA PĀRDEVĒJS,"Sabiedrība ar ierobežotu atbildību ""VITA mārkets""","Lielā iela 49, Jelgava",4.5 - 5 ,29.11.2023
PAVĀRA PALĪGS,"SIA ""DEVALOKA""","Avotu iela 4, Rīga",1373 ,10.01.2024
RAŽOŠANAS INŽENIERIS,SIA LLR-ECOTECH,"Ganību dambis 21A, Rīga",1373 ,15.12.2023
GALVENĀ GRĀMATVEŽA VIETNIEKS,Jelgavas tehnikums,"Pulkveža Oskara Kalpaka iela 37, Jelgava",1157 ,15.12.2023
APDARES DARBU STRĀDNIEKS,"SIA ""Maju Timber Solutions""","Bruģi, Katvaru pag., Limbažu nov.",1300 - 2000 ,01.02.2024
GRĀMATVEDIS (KONSULTANTS),"Sabiedrība ar ierobežotu atbildību ""Airline Support Baltic""","Skultes iela 50/15, Skulte, Mārupes pag., Mārupes nov.",2000 ,08.12.2023
ĒKU CELTNIEKS,SIA BORN,"Daugavpils,ar darba vietu Lielbornes muižā, Lielbornē, Salienas pag., Augšdaugavas nov.",700 - 950 ,01.03.2024
JURISKONSULTS,Nodarbinātības valsts aģentūra,"Krišjāņa Valdemāra iela 38 k-1, Rīga",1400 - 1560 ,06.12.2023
