Amats,Uzņēmums,Darba vietas adrese,Alga bruto,Aktuāla līdz
GALVENAIS SPECIĀLISTS METODIĶIS,Jelgavas novada pašvaldība,"Pasta iela 37, Jelgava",1380 ,01.12.2023
PĒTNIEKS,"Nodibinājums ""Baltic Studies Centre""","Brīvības iela 40 - 48, Rīga",No 3600 ,17.12.2023
PĀRDEVĒJS pa elektroniskiem saziņas līdzekļiem,"""GAĻAS PĀRSTRĀDES UZŅĒMUMS NĀKOTNE"" SIA","Grīvas, Nākotne, Glūdas pag., Jelgavas nov.",1100 ,18.12.2023
SOCIĀLAIS REHABILITĒTĀJS,Jelgavas novada pašvaldība,"Lielupes iela 27, Kalnciems, Kalnciema pag., Jelgavas nov.",276 ,06.12.2023
MĀSAS PALĪGS,Jelgavas novada pašvaldība,"Skolas iela 9, Ozolnieki, Ozolnieku pag., Jelgavas nov.",831 ,06.12.2023
INTEREŠU PULCIŅA VADĪTĀJS,Jelgavas novada pašvaldība,"Draudzības iela 3, Kalnciems, Kalnciema pag., Jelgavas nov.",460 ,06.12.2023
INŽENIERKOMUNIKĀCIJU PIESAISTES INŽENIERIS,"""Latvijas dzelzceļš"", Valsts akciju sabiedrība","Gogoļa iela 3, Rīga",1200 - 1320 ,17.12.2023
SOCIĀLAIS REHABILITĒTĀJS,Jelgavas novada pašvaldība,"Draudzības iela 3, Kalnciems, Kalnciema pag., Jelgavas nov.",644 ,06.12.2023
JURISKONSULTS,Maksātnespējas kontroles dienests,"Mārstaļu iela 19, Rīga",1157 - 1400 ,30.11.2023
JURISKONSULTS,Maksātnespējas kontroles dienests,"Mārstaļu iela 19, Rīga",1157 - 1400 ,30.11.2023
JURISKONSULTS,Maksātnespējas kontroles dienests,"Mārstaļu iela 19, Rīga",1157 - 1400 ,30.11.2023
VADOŠAIS PĒTNIEKS,"Nodibinājums ""Baltic Studies Centre""","Brīvības iela 40 - 48, Rīga",No 4640 ,17.12.2023
PALĪGSTRĀDNIEKS,"""Labor Leaders"", SIA","Uriekstes iela 3, Rīga",1373 - 1400 ,31.01.2024
METĀLMATERIĀLU METINĀTĀJS,"Sabiedrība ar ierobežotu atbildību ""Aloitte""","Mežotnes iela 33, Rīga",1380 - 1500 ,01.04.2024
BIEDRĪBAS VAI NODIBINĀJUMA VADĪTĀJS /PREZIDENTS /VICEPREZIDENTS /ĢENERĀLDIREKTORS /ĢENERĀLSEKRETĀRS /PRIEKŠSĒDĒTĀJS /IZPILDDIREKTORS,"Nodibinājums ""Baltic Studies Centre""","Brīvības iela 40 - 48, Rīga",No 3280 ,17.12.2023
Cauruļvadu MONTĒTĀJS,"Sabiedrība ar ierobežotu atbildību ""Aloitte""","Mežotnes iela 33, Rīga",1380 - 1500 ,01.04.2024
PALĪGSTRĀDNIEKS,SIA CCTR Būve,"Valmiera, Valmieras nov.",1373 ,07.12.2023
Jūrnieku profesionālās apmācības PASNIEDZĒJS (instruktors),Rīgas Tehniskās universitātes Liepājas Jūrniecības koledža,"Uliha iela 5, Liepāja",6 - 14 ,30.11.2023
